source,target,distance,rank
basal cell,mature NK T cell,0.35398066799405326,15
basal cell,cardiac muscle cell,0.3543881242708464,16
basal cell,"CD4+, alpha-beta T cell",0.3545552361690909,17
basal cell,myoepithelial cell of mammary gland,0.35752687556032015,18
basal cell,endothelial cell of artery,0.3584668385216715,19
basal cell,lymphocyte,0.3598250904289958,20
basal cell of epithelium of trachea,tracheal goblet cell,0.3124649140291199,1
basal cell of epithelium of trachea,kidney distal convoluted tubule epith. cell,0.32863905199414734,2
basal cell of epithelium of trachea,basal cell,0.3338705195356185,3
basal cell of epithelium of trachea,granulocyte,0.3425992747904689,4
basal cell of epithelium of trachea,club cell,0.3449809759993675,5
basal cell of epithelium of trachea,dendritic cell,0.3666508118337545,6
basal cell of epithelium of trachea,endothelial cell,0.37117986574114803,7
basal cell of epithelium of trachea,"CD8+, alpha-beta T cell",0.3763557832311387,8
basal cell of epithelium of trachea,respiratory basal cell,0.3810054153468041,9
basal cell of epithelium of trachea,"CD4+, alpha-beta cytotoxic T cell",0.38192986690419695,10
basal cell of epithelium of trachea,T-helper 17 cell,0.3959670359560312,11
basal cell of epithelium of trachea,hematopoietic stem cell,0.3966355277928204,12
basal cell of epithelium of trachea,fibroblast of cardiac tissue,0.39700785934468275,13
basal cell of epithelium of trachea,"activated CD4+, alpha-beta T cell",0.3975431834068677,14
basal cell of epithelium of trachea,plasmacytoid dendritic cell,0.39989524451249403,15
basal cell of epithelium of trachea,myoepithelial cell of mammary gland,0.40068799757867546,16
basal cell of epithelium of trachea,mature alpha-beta T cell,0.40377701801039345,17
basal cell of epithelium of trachea,type II pneumocyte,0.4038629685219366,18
basal cell of epithelium of trachea,granulosa cell,0.4042627231353312,19
basal cell of epithelium of trachea,lamp5 GABAergic cortical interneuron,0.4064062687182315,20
blood vessel endothelial cell,endothelial cell of artery,0.34169088747654863,1
blood vessel endothelial cell,endothelial cell,0.3601060514159473,2
blood vessel endothelial cell,microglial cell,0.37344506718089,3
blood vessel endothelial cell,endothelial cell of lymphatic vessel,0.37417395238097373,4
blood vessel endothelial cell,vein endothelial cell,0.3763861474019876,5
blood vessel endothelial cell,capillary endothelial cell,0.3773715925947735,6
blood vessel endothelial cell,"CD8+, alpha-beta T cell",0.3887579536884149,7
blood vessel endothelial cell,pericyte,0.38886417179257804,8
blood vessel endothelial cell,regulatory T cell,0.39109738317437603,9
blood vessel endothelial cell,"CD16-, CD56-bright NK cell",0.3911129125492443,10
blood vessel endothelial cell,"CD8+, alpha-beta mem. T cell",0.39114099155911053,11
blood vessel endothelial cell,NK cell,0.39311180647915833,12
blood vessel endothelial cell,caudal ganglionic eminence der. GABAergic cortical interneuron,0.3941126749662228,13
blood vessel endothelial cell,dendritic cell,0.39486164624032327,14
blood vessel endothelial cell,"CD16+, CD56-dim NK cell",0.39641827471295066,15
blood vessel endothelial cell,"activated CD8+, alpha-beta T cell",0.396706521562207,16
blood vessel endothelial cell,"CD4+, alpha-beta T cell",0.396762134909469,17
blood vessel endothelial cell,myoepithelial cell of mammary gland,0.39940192417343834,18
blood vessel endothelial cell,mature alpha-beta T cell,0.4030598640047881,19
blood vessel endothelial cell,"CD14+, CD16- clas. monocyte",0.40523679080321295,20
bronchus fibroblast of lung,kidney connecting tubule epith. cell,0.32927400025661935,1
bronchus fibroblast of lung,kidney interstitial fibroblast,0.38481078823779824,2
bronchus fibroblast of lung,smooth muscle cell,0.3906565561851293,3
bronchus fibroblast of lung,pericyte,0.3935520630768512,4
bronchus fibroblast of lung,vein endothelial cell,0.4022531146582037,5
bronchus fibroblast of lung,regulatory T cell,0.40576129762724467,6
bronchus fibroblast of lung,alveolar type 2 fibroblast cell,0.40677721668754674,7
bronchus fibroblast of lung,retinal cone cell,0.41474205666244224,8
bronchus fibroblast of lung,intermediate monocyte,0.4177307177081574,9
bronchus fibroblast of lung,megakaryocyte-erythroid progenitor cell,0.41809169789789813,10
bronchus fibroblast of lung,sst GABAergic cortical interneuron,0.4209130744488113,11
bronchus fibroblast of lung,T follicular helper cell,0.4235787214323691,12
bronchus fibroblast of lung,tracheobronchial smooth muscle cell,0.4237718662816313,13
bronchus fibroblast of lung,"CD4+, alpha-beta T cell",0.42812895186421196,14
bronchus fibroblast of lung,kidney distal convoluted tubule epith. cell,0.43087100091586983,15
bronchus fibroblast of lung,innate lymphoid cell,0.4346294089838575,16
bronchus fibroblast of lung,retinal ganglion cell,0.43565062897398543,17
bronchus fibroblast of lung,mast cell,0.4375492920695909,18
bronchus fibroblast of lung,alveolar type 1 fibroblast cell,0.439757809129506,19
bronchus fibroblast of lung,"central mem. CD4+, alpha-beta T cell",0.4401828244062118,20
capillary endothelial cell,endothelial cell,0.19970896453119868,1
capillary endothelial cell,vein endothelial cell,0.25445363600854476,2
capillary endothelial cell,pericyte,0.30556574439674455,3
capillary endothelial cell,endothelial cell of artery,0.3157535728908869,4
capillary endothelial cell,endothelial cell of lymphatic vessel,0.3242251476394019,5
capillary endothelial cell,kidney collecting duct principal cell,0.33666747537482655,6
capillary endothelial cell,granulosa cell,0.3377687514427351,7
capillary endothelial cell,"CD16+, CD56-dim NK cell",0.3408747973695877,8
capillary endothelial cell,basal cell,0.3412809288027485,9
capillary endothelial cell,mucosal invariant T cell,0.34224245134577247,10
capillary endothelial cell,"CD8+, alpha-beta T cell",0.34682239934387893,11
capillary endothelial cell,respiratory basal cell,0.34917677784209844,12
capillary endothelial cell,keratinocyte,0.34976967634206824,13
capillary endothelial cell,"naive thym.-der. CD8+, alpha-beta T cell",0.3500912793427512,14
capillary endothelial cell,NK cell,0.3522219758878038,15
capillary endothelial cell,intestine goblet cell,0.3546252238415255,16
capillary endothelial cell,"effector mem. CD4+, alpha-beta T cell",0.35965657130909734,17
capillary endothelial cell,smooth muscle cell,0.3599228232003481,18
capillary endothelial cell,intermediate monocyte,0.36330984731288307,19
capillary endothelial cell,mature NK T cell,0.36516435212796894,20
cardiac muscle cell,epith. cell of proximal tubule,0.3424968680720293,1
cardiac muscle cell,keratinocyte,0.348070193589501,2
cardiac muscle cell,pericyte,0.3480786567843932,3
cardiac muscle cell,kidney loop Henle thick asc. limb epith. cell,0.3484504666415271,4
cardiac muscle cell,basal cell,0.3543881242708464,5
cardiac muscle cell,granulosa cell,0.355801530306314,6
cardiac muscle cell,innate lymphoid cell,0.35582361347959357,7
cardiac muscle cell,smooth muscle cell,0.36000440444555093,8
cardiac muscle cell,endothelial cell,0.362949161314311,9
cardiac muscle cell,"CD8+, alpha-beta T cell",0.36526892802443656,10
cardiac muscle cell,macrophage,0.3711989426268272,11
cardiac muscle cell,intermediate monocyte,0.37203841031797247,12
cardiac muscle cell,enteric smooth muscle cell,0.3725015640571163,13
cardiac muscle cell,immature innate lymphoid cell,0.3757407832551487,14
cardiac muscle cell,retinal rod cell,0.3786799141730126,15
cardiac muscle cell,dendritic cell,0.3796138166487796,16
cardiac muscle cell,kidney loop Henle thin des. limb epith. cell,0.3816558246007129,17
cardiac muscle cell,retina horizontal cell,0.383288451350665,18
cardiac muscle cell,amacrine cell,0.3849495449555532,19
cardiac muscle cell,neutrophil,0.38593832823923047,20
cardiac neuron,alveolar type 1 fibroblast cell,0.39663269617760943,1
cardiac neuron,"effector CD8+, alpha-beta T cell",0.40796922715954687,2
cardiac neuron,kidney loop Henle thick asc. limb epith. cell,0.422007264249336,3
cardiac neuron,kidney loop Henle thin des. limb epith. cell,0.4229528415515257,4
cardiac neuron,Schwann cell,0.43197983485466074,5
cardiac neuron,nasal mucosa goblet cell,0.43314808383174797,6
cardiac neuron,T-helper 22 cell,0.4345508382693334,7
cardiac neuron,"CD4+, alpha-beta cytotoxic T cell",0.4382393904477413,8
cardiac neuron,kidney loop Henle thin asc. limb epith. cell,0.44237318447127205,9
cardiac neuron,"CD8+, alpha-beta cytotoxic T cell",0.4438765128382577,10
cardiac neuron,plasmacytoid dendritic cell,0.4557723577484214,11
cardiac neuron,sncg GABAergic cortical interneuron,0.4568274489607991,12
cardiac neuron,astrocyte,0.46476112338087405,13
cardiac neuron,mature NK T cell,0.46712354524739885,14
cardiac neuron,IgG plasma cell,0.4676578230369447,15
cardiac neuron,endothelial cell,0.4721939846112386,16
cardiac neuron,kidney connecting tubule epith. cell,0.47711257211112224,17
cardiac neuron,tracheal goblet cell,0.47824250225761167,18
cardiac neuron,"CD14+, CD16+ monocyte",0.4878785978017519,19
cardiac neuron,"CD8+, alpha-beta T cell",0.48812217923514034,20
caudal ganglionic eminence der. GABAergic cortical interneuron,respiratory hillock cell,0.30193219108617775,1
caudal ganglionic eminence der. GABAergic cortical interneuron,erythroblast,0.3260330130933127,2
caudal ganglionic eminence der. GABAergic cortical interneuron,plasmablast,0.37054071440402236,3
caudal ganglionic eminence der. GABAergic cortical interneuron,foveolar cell of stomach,0.38124117254358925,4
caudal ganglionic eminence der. GABAergic cortical interneuron,lamp5 GABAergic cortical interneuron,0.3914460511035568,5
caudal ganglionic eminence der. GABAergic cortical interneuron,glutamatergic neuron,0.39190615645464955,6
caudal ganglionic eminence der. GABAergic cortical interneuron,retinal ganglion cell,0.39293427808303527,7
caudal ganglionic eminence der. GABAergic cortical interneuron,blood vessel endothelial cell,0.3941126749662228,8
caudal ganglionic eminence der. GABAergic cortical interneuron,enterocyte,0.40612458675532637,9
caudal ganglionic eminence der. GABAergic cortical interneuron,"activated CD4+, alpha-beta T cell",0.40690445866257474,10
caudal ganglionic eminence der. GABAergic cortical interneuron,"CD8+, alpha-beta T cell",0.4100966476464496,11
caudal ganglionic eminence der. GABAergic cortical interneuron,amacrine cell,0.41057131951009007,12
caudal ganglionic eminence der. GABAergic cortical interneuron,vein endothelial cell,0.4135194348097143,13
caudal ganglionic eminence der. GABAergic cortical interneuron,pro-B cell,0.41633889838683225,14
caudal ganglionic eminence der. GABAergic cortical interneuron,respiratory basal cell,0.4180653549136152,15
caudal ganglionic eminence der. GABAergic cortical interneuron,T cell,0.42042257786802895,16
caudal ganglionic eminence der. GABAergic cortical interneuron,Schwann cell,0.4220898986761745,17
caudal ganglionic eminence der. GABAergic cortical interneuron,megakaryocyte-erythroid progenitor cell,0.42728462903891395,18
caudal ganglionic eminence der. GABAergic cortical interneuron,"double+, alpha-beta thymocyte",0.4301280682436328,19
caudal ganglionic eminence der. GABAergic cortical interneuron,mature alpha-beta T cell,0.43111584946009895,20
"central mem. CD4+, alpha-beta T cell","naive thym.-der. CD4+, alpha-beta T cell",0.14291602024536398,1
"central mem. CD4+, alpha-beta T cell","effector mem. CD4+, alpha-beta T cell",0.1482823134121426,2
"central mem. CD4+, alpha-beta T cell",T follicular helper cell,0.20978568926904173,3
"central mem. CD4+, alpha-beta T cell",regulatory T cell,0.21526938941649765,4
"central mem. CD4+, alpha-beta T cell",mem. T cell,0.22709497939684387,5
"central mem. CD4+, alpha-beta T cell","CD4+, alpha-beta T cell",0.2353222068948796,6
"central mem. CD4+, alpha-beta T cell",CD4+ helper T cell,0.24175549479651604,7
"central mem. CD4+, alpha-beta T cell","central mem. CD8+, alpha-beta T cell",0.2608540797914577,8
"central mem. CD4+, alpha-beta T cell","CD4+, alpha-beta mem. T cell",0.28414963911140534,9
"central mem. CD4+, alpha-beta T cell",T-helper 22 cell,0.29705528347668475,10
"central mem. CD4+, alpha-beta T cell",innate lymphoid cell,0.30749173104768246,11
"central mem. CD4+, alpha-beta T cell","activated CD4+, alpha-beta T cell",0.30993827807060237,12
"central mem. CD4+, alpha-beta T cell",T-helper 17 cell,0.32009703747997886,13
"central mem. CD4+, alpha-beta T cell","CD4+, alpha-beta cytotoxic T cell",0.32183387728698654,14
"central mem. CD4+, alpha-beta T cell",hematopoietic stem cell,0.33932485037341176,15
"central mem. CD4+, alpha-beta T cell","naive thym.-der. CD8+, alpha-beta T cell",0.3411752338082802,16
"central mem. CD4+, alpha-beta T cell",naive T cell,0.34308926805579765,17
"central mem. CD4+, alpha-beta T cell",gamma-delta T cell,0.34748243261176437,18
"central mem. CD4+, alpha-beta T cell",erythrocyte,0.348757134286375,19
"central mem. CD4+, alpha-beta T cell","effector mem. CD8+, alpha-beta T cell",0.35293840897832485,20
"central mem. CD8+, alpha-beta T cell","effector mem. CD8+, alpha-beta T cell",0.20082393223902673,1
"central mem. CD8+, alpha-beta T cell","CD8+, alpha-beta mem. T cell",0.22423069315973643,2
"central mem. CD8+, alpha-beta T cell","CD8+, alpha-beta cytotoxic T cell",0.22492732702889917,3
"central mem. CD8+, alpha-beta T cell","effector mem. CD4+, alpha-beta T cell",0.25030191276555414,4
"central mem. CD8+, alpha-beta T cell",gamma-delta T cell,0.252370439330466,5
"central mem. CD8+, alpha-beta T cell","central mem. CD4+, alpha-beta T cell",0.2608540797914577,6
"central mem. CD8+, alpha-beta T cell","naive thym.-der. CD8+, alpha-beta T cell",0.2616292722574617,7
"central mem. CD8+, alpha-beta T cell","activated CD8+, alpha-beta T cell",0.26403882185656324,8
"central mem. CD8+, alpha-beta T cell","CD8+, alpha-beta T cell",0.264065418052122,9
"central mem. CD8+, alpha-beta T cell","effector mem. CD8+, alpha-beta T cell, term. diff.",0.2717223103436117,10
"central mem. CD8+, alpha-beta T cell","CD4+, alpha-beta cytotoxic T cell",0.27364959234687647,11
"central mem. CD8+, alpha-beta T cell",CD4+ helper T cell,0.27914724347097186,12
"central mem. CD8+, alpha-beta T cell","effector CD8+, alpha-beta T cell",0.28404189046208805,13
"central mem. CD8+, alpha-beta T cell",mem. T cell,0.2920952771732416,14
"central mem. CD8+, alpha-beta T cell","naive thym.-der. CD4+, alpha-beta T cell",0.2990994720821145,15
"central mem. CD8+, alpha-beta T cell",macrophage,0.30034346828841496,16
"central mem. CD8+, alpha-beta T cell","CD4+, alpha-beta T cell",0.3015963194596385,17
"central mem. CD8+, alpha-beta T cell",alpha-beta T cell,0.30349205982404925,18
"central mem. CD8+, alpha-beta T cell",mucosal invariant T cell,0.3146938371886717,19
"central mem. CD8+, alpha-beta T cell",T cell,0.3221514269549386,20
central nervous sys. macrophage,endothelial cell,0.3524771945111492,1
central nervous sys. macrophage,granulosa cell,0.3759495476179431,2
central nervous sys. macrophage,microglial cell,0.37791648372466036,3
central nervous sys. macrophage,macrophage,0.37822260395403196,4
central nervous sys. macrophage,capillary endothelial cell,0.3896657035821808,5
central nervous sys. macrophage,dendritic cell,0.390110249298253,6
central nervous sys. macrophage,nasal mucosa goblet cell,0.39304849317811785,7
central nervous sys. macrophage,club cell,0.39839420906589174,8
central nervous sys. macrophage,neuron,0.40183791972370864,9
central nervous sys. macrophage,pericyte,0.4124592014968159,10
central nervous sys. macrophage,vip GABAergic cortical interneuron,0.4145636335126268,11
central nervous sys. macrophage,astrocyte,0.4201245071362145,12
central nervous sys. macrophage,oligodendrocyte pre. cell,0.4205897908806946,13
central nervous sys. macrophage,cardiac muscle cell,0.42078775981865424,14
central nervous sys. macrophage,"CD16+, CD56-dim NK cell",0.4217561660149024,15
central nervous sys. macrophage,keratinocyte,0.4249499422666667,16
central nervous sys. macrophage,ciliated columnar cell of tracheobronchial tree,0.42573243845067354,17
central nervous sys. macrophage,alveolar macrophage,0.42582871258168165,18
central nervous sys. macrophage,"CD14+, CD16- clas. monocyte",0.42618070794343677,19
central nervous sys. macrophage,kidney loop Henle thin des. limb epith. cell,0.42623426379156326,20
chandelier pvalb GABAergic cortical interneuron,"CD16-, CD56-bright NK cell",0.3527445410200245,1
chandelier pvalb GABAergic cortical interneuron,vip GABAergic cortical interneuron,0.388367978385721,2
chandelier pvalb GABAergic cortical interneuron,near-project. glutamatergic cortical neuron,0.3922825004529412,3
chandelier pvalb GABAergic cortical interneuron,kidney interstitial fibroblast,0.39599498837447855,4
chandelier pvalb GABAergic cortical interneuron,retina horizontal cell,0.4040814536778722,5
chandelier pvalb GABAergic cortical interneuron,kidney collecting duct principal cell,0.40890458908262983,6
chandelier pvalb GABAergic cortical interneuron,pericyte,0.4109004516554028,7
chandelier pvalb GABAergic cortical interneuron,kidney loop Henle thick asc. limb epith. cell,0.4197421858614617,8
chandelier pvalb GABAergic cortical interneuron,double negative T regulatory cell,0.4214279865627014,9
chandelier pvalb GABAergic cortical interneuron,"CD14-low, CD16+ monocyte",0.42928480699893956,10
chandelier pvalb GABAergic cortical interneuron,granulocyte,0.4298783012498518,11
chandelier pvalb GABAergic cortical interneuron,plasmablast,0.4310486869422755,12
chandelier pvalb GABAergic cortical interneuron,"CD14+, CD16+ monocyte",0.4332125345122686,13
chandelier pvalb GABAergic cortical interneuron,pre. B cell,0.43459864004905124,14
chandelier pvalb GABAergic cortical interneuron,retinal ganglion cell,0.43594763187144703,15
chandelier pvalb GABAergic cortical interneuron,innate lymphoid cell,0.4377328582237028,16
chandelier pvalb GABAergic cortical interneuron,"CD16+, CD56-dim NK cell",0.4428381062070593,17
chandelier pvalb GABAergic cortical interneuron,kidney distal convoluted tubule epith. cell,0.4464555047412986,18
chandelier pvalb GABAergic cortical interneuron,naive B cell,0.44705850438134487,19
chandelier pvalb GABAergic cortical interneuron,mem. B cell,0.44867964703565333,20
ciliated columnar cell of tracheobronchial tree,granulosa cell,0.34504331873164484,1
ciliated columnar cell of tracheobronchial tree,kidney loop Henle thin des. limb epith. cell,0.350400144335976,2
ciliated columnar cell of tracheobronchial tree,L6b glutamatergic cortical neuron,0.35156336314565295,3
ciliated columnar cell of tracheobronchial tree,intestine goblet cell,0.38570558734499993,4
ciliated columnar cell of tracheobronchial tree,macrophage,0.38642056087546206,5
ciliated columnar cell of tracheobronchial tree,enteroendocrine cell,0.3887831092721984,6
ciliated columnar cell of tracheobronchial tree,"CD8+, alpha-beta T cell",0.3983191156484983,7
ciliated columnar cell of tracheobronchial tree,retinal cone cell,0.398701848473792,8
ciliated columnar cell of tracheobronchial tree,microglial cell,0.40055147090330323,9
ciliated columnar cell of tracheobronchial tree,nasal mucosa goblet cell,0.4023159667442502,10
ciliated columnar cell of tracheobronchial tree,smooth muscle cell,0.40254254342939577,11
ciliated columnar cell of tracheobronchial tree,plasma cell,0.4025677736939436,12
ciliated columnar cell of tracheobronchial tree,respiratory basal cell,0.4026925317636393,13
ciliated columnar cell of tracheobronchial tree,erythrocyte,0.4049964116449418,14
ciliated columnar cell of tracheobronchial tree,clas. monocyte,0.41375528462464917,15
ciliated columnar cell of tracheobronchial tree,alpha-beta T cell,0.41539833532325077,16
ciliated columnar cell of tracheobronchial tree,type II pneumocyte,0.41557217318935136,17
ciliated columnar cell of tracheobronchial tree,alveolar macrophage,0.41747455119788224,18
ciliated columnar cell of tracheobronchial tree,goblet cell,0.42016097240249195,19
ciliated columnar cell of tracheobronchial tree,intermediate monocyte,0.421537650749904,20
class switched mem. B cell,naive B cell,0.27771549817503316,1
class switched mem. B cell,IgG plasma cell,0.28825303755343823,2
class switched mem. B cell,mem. B cell,0.28899202725118456,3
class switched mem. B cell,B cell,0.378758368636418,4
class switched mem. B cell,endothelial cell of artery,0.38790051117381397,5
class switched mem. B cell,immature B cell,0.38887286703490653,6
class switched mem. B cell,vein endothelial cell,0.3910896631670342,7
class switched mem. B cell,transitional stage B cell,0.39558625181657325,8
class switched mem. B cell,IgA plasma cell,0.39905429824599736,9
class switched mem. B cell,granulocyte,0.409491097851001,10
class switched mem. B cell,plasmablast,0.4165576088530808,11
class switched mem. B cell,erythroblast,0.41714960245337585,12
class switched mem. B cell,plasmacytoid dendritic cell,0.4211043679423865,13
class switched mem. B cell,CD4+ helper T cell,0.423657645995849,14
class switched mem. B cell,erythrocyte,0.42717755322514395,15
class switched mem. B cell,T-helper 17 cell,0.4315118627443242,16
class switched mem. B cell,monocyte,0.4319160135105691,17
class switched mem. B cell,glutamatergic neuron,0.4332767210924461,18
class switched mem. B cell,T-helper 22 cell,0.4442688498273172,19
class switched mem. B cell,innate lymphoid cell,0.44485952031139575,20
clas. monocyte,intermediate monocyte,0.19361178894312792,1
clas. monocyte,macrophage,0.2459552971780179,2
clas. monocyte,monocyte,0.2622815795834298,3
clas. monocyte,CD14+ monocyte,0.2797525484195622,4
clas. monocyte,non-classical monocyte,0.28271445576712884,5
clas. monocyte,"CD8+, alpha-beta T cell",0.2945656130090043,6
clas. monocyte,dendritic cell,0.2969092064948664,7
clas. monocyte,"CD4+, alpha-beta T cell",0.3036720294485824,8
clas. monocyte,CD4+ helper T cell,0.308984278217597,9
clas. monocyte,vein endothelial cell,0.3174697499496504,10
clas. monocyte,"CD14+, CD16- clas. monocyte",0.32397446833683785,11
clas. monocyte,T cell,0.32901373390965827,12
clas. monocyte,"effector CD8+, alpha-beta T cell",0.3343703789566391,13
clas. monocyte,club cell,0.33456368369362155,14
clas. monocyte,conventional dendritic cell,0.3355964385518724,15
clas. monocyte,nasal mucosa goblet cell,0.3398644198147154,16
clas. monocyte,alpha-beta T cell,0.34042376893423076,17
clas. monocyte,erythrocyte,0.3438934189187556,18
clas. monocyte,L2/3-6 IT projecting neuron,0.3450780329108505,19
clas. monocyte,alveolar macrophage,0.3455534972782881,20
club cell,nasal mucosa goblet cell,0.24367204273021403,1
club cell,respiratory hillock cell,0.26343673570316384,2
club cell,respiratory basal cell,0.26361613662366756,3
club cell,type II pneumocyte,0.27557922256847556,4
club cell,keratinocyte,0.2769257996661896,5
club cell,basal cell,0.2811023199525283,6
club cell,enteroendocrine cell,0.2880325339713484,7
club cell,vascular assoc. smooth muscle cell,0.3039439260334422,8
club cell,Schwann cell,0.30906657830853623,9
club cell,smooth muscle cell,0.311102553367553,10
club cell,vein endothelial cell,0.31203190033924666,11
club cell,macrophage,0.312785750394038,12
club cell,kidney distal convoluted tubule epith. cell,0.31299502586834504,13
club cell,"CD8+, alpha-beta T cell",0.31697562644159416,14
club cell,tracheal goblet cell,0.3175261237373097,15
club cell,"double+, alpha-beta thymocyte",0.32372698785763154,16
club cell,dendritic cell,0.323780321994782,17
club cell,pericyte,0.3239441731667536,18
club cell,NK cell,0.3262490982035856,19
club cell,luminal epith. cell of mammary gland,0.32737354077469394,20
conventional dendritic cell,dendritic cell,0.30691549800318185,1
conventional dendritic cell,clas. monocyte,0.3355964385518724,2
conventional dendritic cell,intermediate monocyte,0.3414594640647878,3
conventional dendritic cell,macrophage,0.34745465192435976,4
conventional dendritic cell,plasmacytoid dendritic cell,0.35676807333605187,5
conventional dendritic cell,CD1c+ myeloid dendritic cell,0.3646518988667814,6
conventional dendritic cell,granulosa cell,0.36802372425967744,7
conventional dendritic cell,monocyte,0.38149778286300906,8
conventional dendritic cell,respiratory basal cell,0.3816737447165456,9
conventional dendritic cell,innate lymphoid cell,0.3911059358986837,10
conventional dendritic cell,mesothelial cell,0.39707061706220304,11
conventional dendritic cell,lymphocyte,0.3978419581859062,12
conventional dendritic cell,"CD4+, alpha-beta T cell",0.3985540280428793,13
conventional dendritic cell,type I pneumocyte,0.39933227588489983,14
conventional dendritic cell,microglial cell,0.39966707072840557,15
conventional dendritic cell,respiratory hillock cell,0.39985849167875775,16
conventional dendritic cell,pericyte,0.4042881073925717,17
conventional dendritic cell,leukocyte,0.40439446674084556,18
conventional dendritic cell,"effector mem. CD8+, alpha-beta T cell",0.4055420002254132,19
conventional dendritic cell,"CD8+, alpha-beta T cell",0.4087185431098762,20
corticothalamic-project. glutamatergic cortical neuron,endothelial cell,0.3400815271843216,1
corticothalamic-project. glutamatergic cortical neuron,retinal ganglion cell,0.3433225181846188,2
corticothalamic-project. glutamatergic cortical neuron,retinal cone cell,0.3605663755793945,3
corticothalamic-project. glutamatergic cortical neuron,vein endothelial cell,0.3676727335015584,4
corticothalamic-project. glutamatergic cortical neuron,smooth muscle cell,0.3948312040242259,5
corticothalamic-project. glutamatergic cortical neuron,plasmacytoid dendritic cell,0.3991952686089739,6
corticothalamic-project. glutamatergic cortical neuron,"central mem. CD8+, alpha-beta T cell",0.40758343666662844,7
corticothalamic-project. glutamatergic cortical neuron,macrophage,0.41239865729135206,8
corticothalamic-project. glutamatergic cortical neuron,mesothelial cell,0.41441405420191413,9
corticothalamic-project. glutamatergic cortical neuron,immature innate lymphoid cell,0.4177366224654101,10
corticothalamic-project. glutamatergic cortical neuron,granulosa cell,0.4182420893262121,11
corticothalamic-project. glutamatergic cortical neuron,pericyte,0.41937929712523936,12
corticothalamic-project. glutamatergic cortical neuron,pvalb GABAergic cortical interneuron,0.42169700610389904,13
corticothalamic-project. glutamatergic cortical neuron,conventional dendritic cell,0.4224200655493431,14
corticothalamic-project. glutamatergic cortical neuron,leukocyte,0.4235683119312259,15
corticothalamic-project. glutamatergic cortical neuron,kidney distal convoluted tubule epith. cell,0.4246505012559293,16
corticothalamic-project. glutamatergic cortical neuron,endothelial cell of artery,0.4249659611693326,17
corticothalamic-project. glutamatergic cortical neuron,"effector mem. CD8+, alpha-beta T cell",0.43079521274061494,18
corticothalamic-project. glutamatergic cortical neuron,astrocyte of the cerebral cortex,0.4329880004954061,19
corticothalamic-project. glutamatergic cortical neuron,erythroblast,0.43323327534756795,20
dendritic cell,macrophage,0.25118181991152244,1
dendritic cell,basal cell,0.2854760581075042,2
dendritic cell,intermediate monocyte,0.2875755142412677,3
dendritic cell,keratinocyte,0.29554664371951167,4
dendritic cell,clas. monocyte,0.2969092064948664,5
dendritic cell,microglial cell,0.304860206560839,6
dendritic cell,monocyte,0.30628342443047174,7
dendritic cell,conventional dendritic cell,0.30691549800318185,8
dendritic cell,tracheal goblet cell,0.31187554712329535,9
dendritic cell,innate lymphoid cell,0.32212301415171085,10
dendritic cell,NK cell,0.3221935431511235,11
dendritic cell,club cell,0.323780321994782,12
dendritic cell,CD1c+ myeloid dendritic cell,0.3277865811644617,13
dendritic cell,"CD8+, alpha-beta T cell",0.3288770658351572,14
dendritic cell,plasmacytoid dendritic cell,0.333937844261071,15
dendritic cell,B cell,0.33521633530276895,16
dendritic cell,"CD4+, alpha-beta T cell",0.33782395855851477,17
dendritic cell,endothelial cell of artery,0.3404233171793156,18
dendritic cell,respiratory hillock cell,0.345158119678982,19
dendritic cell,T cell,0.345373724497956,20
double negative T regulatory cell,"CD4+, alpha-beta T cell",0.25714232096974543,1
double negative T regulatory cell,"CD8+, alpha-beta T cell",0.26411834165674897,2
double negative T regulatory cell,gamma-delta T cell,0.2914499674178218,3
double negative T regulatory cell,"CD8+, alpha-beta mem. T cell",0.3053545821337935,4
double negative T regulatory cell,double negative thymocyte,0.3254961941336819,5
double negative T regulatory cell,"effector CD8+, alpha-beta T cell",0.328295881238855,6
double negative T regulatory cell,NK cell,0.33631777764493453,7
double negative T regulatory cell,"activated CD8+, alpha-beta T cell",0.33931788238258176,8
double negative T regulatory cell,T-helper 17 cell,0.3395898212136802,9
double negative T regulatory cell,mem. T cell,0.34639093467980664,10
double negative T regulatory cell,ependymal cell,0.3470362488886848,11
double negative T regulatory cell,innate lymphoid cell,0.3498498429279786,12
double negative T regulatory cell,"effector mem. CD8+, alpha-beta T cell",0.3555958546286083,13
double negative T regulatory cell,pre. B cell,0.35667327498067125,14
double negative T regulatory cell,keratinocyte,0.35762434574009416,15
double negative T regulatory cell,basal cell,0.36032565354769297,16
double negative T regulatory cell,CD4+ helper T cell,0.3617054008798587,17
double negative T regulatory cell,"central mem. CD8+, alpha-beta T cell",0.36172363998185475,18
double negative T regulatory cell,pulmonary artery endothelial cell,0.36302428308260726,19
double negative T regulatory cell,regulatory T cell,0.36600350929293013,20
double negative thymocyte,"CD8+, alpha-beta mem. T cell",0.314005199084713,1
double negative thymocyte,double negative T regulatory cell,0.3254961941336819,2
double negative thymocyte,nasal mucosa goblet cell,0.3331848635704413,3
double negative thymocyte,gamma-delta T cell,0.33814389767648656,4
double negative thymocyte,"effector CD8+, alpha-beta T cell",0.34105663966811184,5
double negative thymocyte,fibroblast of cardiac tissue,0.34780917344948603,6
double negative thymocyte,astrocyte,0.3486292113490804,7
