source,target,distance,rank
"CD14+, CD16- clas. monocyte",blood vessel endothelial cell,0.40523679080321295,16
"CD14+, CD16- clas. monocyte",NK cell,0.4055626853974462,17
"CD14+, CD16- clas. monocyte",alpha-beta T cell,0.41331475489493397,18
"CD14+, CD16- clas. monocyte","CD16+, CD56-dim NK cell",0.41398888032905024,19
"CD14+, CD16- clas. monocyte",neutrophil,0.4149438190804563,20
"CD14+, CD16+ monocyte","CD14+, CD16- clas. monocyte",0.29679421261303573,1
"CD14+, CD16+ monocyte",monocyte,0.3040195445801781,2
"CD14+, CD16+ monocyte",kidney interstitial fibroblast,0.35171846692041386,3
"CD14+, CD16+ monocyte",goblet cell,0.38348639553764396,4
"CD14+, CD16+ monocyte",dendritic cell,0.3840316546815854,5
"CD14+, CD16+ monocyte","activated CD4+, alpha-beta T cell",0.39296105552453253,6
"CD14+, CD16+ monocyte",mature alpha-beta T cell,0.3935780012469682,7
"CD14+, CD16+ monocyte",intermediate monocyte,0.3953981934784121,8
"CD14+, CD16+ monocyte",mem. T cell,0.40355303061157477,9
"CD14+, CD16+ monocyte",foveolar cell of stomach,0.4067699171922202,10
"CD14+, CD16+ monocyte",pvalb GABAergic cortical interneuron,0.4077171118558379,11
"CD14+, CD16+ monocyte",macrophage,0.4105268597313547,12
"CD14+, CD16+ monocyte","activated CD8+, alpha-beta T cell",0.417536213064022,13
"CD14+, CD16+ monocyte",clas. monocyte,0.41769152864232906,14
"CD14+, CD16+ monocyte",alpha-beta T cell,0.4205521375801682,15
"CD14+, CD16+ monocyte","CD8+, alpha-beta T cell",0.42217459661126244,16
"CD14+, CD16+ monocyte",T follicular helper cell,0.4222717086361183,17
"CD14+, CD16+ monocyte","CD14-low, CD16+ monocyte",0.43094313691131036,18
"CD14+, CD16+ monocyte",chandelier pvalb GABAergic cortical interneuron,0.4332125345122686,19
"CD14+, CD16+ monocyte",non-classical monocyte,0.4342340901637549,20
"CD16-, CD56-bright NK cell",NK cell,0.29800172475270037,1
"CD16-, CD56-bright NK cell","CD16+, CD56-dim NK cell",0.30459568217348043,2
"CD16-, CD56-bright NK cell",mature NK T cell,0.34664949976520154,3
"CD16-, CD56-bright NK cell",innate lymphoid cell,0.34773796362091525,4
"CD16-, CD56-bright NK cell",naive B cell,0.3490172863380808,5
"CD16-, CD56-bright NK cell",kidney loop Henle thick asc. limb epith. cell,0.35098955137988697,6
"CD16-, CD56-bright NK cell",chandelier pvalb GABAergic cortical interneuron,0.3527445410200245,7
"CD16-, CD56-bright NK cell","effector CD8+, alpha-beta T cell",0.3548165087852877,8
"CD16-, CD56-bright NK cell","effector mem. CD8+, alpha-beta T cell",0.3566621713899081,9
"CD16-, CD56-bright NK cell",vein endothelial cell,0.3581404567746318,10
"CD16-, CD56-bright NK cell","activated CD8+, alpha-beta T cell",0.35920004889176316,11
"CD16-, CD56-bright NK cell",gamma-delta T cell,0.37056573296669904,12
"CD16-, CD56-bright NK cell",T cell,0.37385720347384743,13
"CD16-, CD56-bright NK cell","central mem. CD8+, alpha-beta T cell",0.3806038432664861,14
"CD16-, CD56-bright NK cell","CD8+, alpha-beta T cell",0.38260830779881216,15
"CD16-, CD56-bright NK cell",mucosal invariant T cell,0.38779465267586877,16
"CD16-, CD56-bright NK cell","CD8+, alpha-beta mem. T cell",0.38978332678535366,17
"CD16-, CD56-bright NK cell",blood vessel endothelial cell,0.3911129125492443,18
"CD16-, CD56-bright NK cell",astrocyte,0.3918486623788271,19
"CD16-, CD56-bright NK cell",endothelial cell,0.3964636234096124,20
"CD16+, CD56-dim NK cell",NK cell,0.2041820816824922,1
"CD16+, CD56-dim NK cell","CD8+, alpha-beta cytotoxic T cell",0.3008743706678396,2
"CD16+, CD56-dim NK cell","CD16-, CD56-bright NK cell",0.30459568217348043,3
"CD16+, CD56-dim NK cell","effector CD8+, alpha-beta T cell",0.3046786348524727,4
"CD16+, CD56-dim NK cell",mature NK T cell,0.3108732723233625,5
"CD16+, CD56-dim NK cell",T follicular helper cell,0.3200114170686238,6
