,EIF1,PSMB5,ANKRD11,PTMA,HSP90B1,TFAM,C17orf58,ACTB,YEATS2,RPL41,SIN3A,HSPA8,GRSF1,RAC3,ATP2A2,JAZF1,MRPL34,HSD17B10,TPT1,HSPD1,MRPL24,MCMBP,GFM1,ZBTB17,TRNT1,SPCS3,DLD,RSL1D1,CSE1L,DNMT1,PAXBP1,PHAX,THAP1,MRPL16,SSU72,YEATS4,MVK,RBMX2,EXOSC2,PSMG3,EEF2,GPS1,TSR1,PSMA4,NUP107,MRPL36,CYS1,OGFOD1,TTI1,UBA2,HNRNPL
SIN3A,0.1179950013756752,0.3354673981666565,0.2970755696296692,0.3829684555530548,0.33215799927711487,0.44921088218688965,0.21078655123710632,0.5019814372062683,0.0534883551299572,0.38606271147727966,0.15995033085346222,0.4088534712791443,0.27657705545425415,0.07281722128391266,0.2635017931461334,0.13162517547607422,0.3088679313659668,0.4022928476333618,0.3147035241127014,0.4552280902862549,0.024426043033599854,-0.07343330979347229,0.10029923170804977,0.0537894181907177,0.21097306907176971,0.19522814452648163,0.12751223146915436,0.28012311458587646,0.12335880845785141,0.23766669631004333,0.3407610058784485,0.15876354277133942,-0.11507172882556915,0.4277924597263336,0.3167060315608978,0.20773820579051971,0.2999874949455261,-0.12307576835155487,0.06264398992061615,0.23165054619312286,0.49777859449386597,0.07441476732492447,0.17364485561847687,0.23189710080623627,0.49308598041534424,0.26871827244758606,-0.1645934134721756,0.013175485655665398,-0.022649088874459267,0.36280736327171326,0.3244003653526306
HSPA8,0.2955416738986969,0.46114039421081543,0.480305939912796,0.5153842568397522,0.5049800276756287,0.5331310033798218,0.21123136579990387,0.8102993369102478,0.13911233842372894,0.6337186098098755,0.29511719942092896,0.6185613870620728,0.46967417001724243,0.13218945264816284,0.38021188974380493,0.11124816536903381,0.37771543860435486,0.42084792256355286,0.5136134028434753,0.66245037317276,0.10296327620744705,0.17352387309074402,0.18870866298675537,0.07971608638763428,0.22232471406459808,0.32303303480148315,0.22869400680065155,0.35452035069465637,0.23925933241844177,0.3933040499687195,0.3521178662776947,0.20582883059978485,-0.07491236180067062,0.45264047384262085,0.45287007093429565,0.2568407356739044,0.3580314815044403,-0.044503360986709595,0.11952716112136841,0.31736570596694946,0.7148463726043701,0.21196262538433075,0.3106980323791504,0.3515765368938446,0.5060825943946838,0.318148136138916,-0.30296263098716736,0.14619667828083038,0.03554129600524902,0.45503196120262146,0.4882124662399292
GRSF1,0.23062166571617126,0.4777514338493347,0.493606835603714,0.6476501226425171,0.550801157951355,0.6119894981384277,0.1943245679140091,0.8651137351989746,0.13059435784816742,0.6761124134063721,0.3443319499492645,0.6379745602607727,0.5208984017372131,0.1554216593503952,0.4381289780139923,0.14456996321678162,0.47602447867393494,0.48708826303482056,0.48851531744003296,0.700249195098877,0.1999657303094864,0.11294004321098328,0.22631201148033142,0.0731351226568222,0.2865700125694275,0.321159690618515,0.21977880597114563,0.3678983747959137,0.2445896714925766,0.4529201090335846,0.46940067410469055,0.2494383454322815,-0.029366159811615944,0.5604960322380066,0.4744548499584198,0.3091098964214325,0.3835238516330719,-0.03851044178009033,0.15937520563602448,0.3685135543346405,0.7567726373672485,0.23742514848709106,0.2986045777797699,0.39816197752952576,0.6396681666374207,0.3122294545173645,-0.3548421561717987,0.17865438759326935,0.05180748924612999,0.4824395179748535,0.5575540661811829
RAC3,0.11281921714544296,0.33162522315979004,0.3158882260322571,0.39639878273010254,0.37396571040153503,0.41737011075019836,0.1261504590511322,0.5197713375091553,0.03200113773345947,0.4635509252548218,0.18424315750598907,0.41009223461151123,0.24031245708465576,0.11732740700244904,0.2687878906726837,0.13768912851810455,0.31720930337905884,0.3163486421108246,0.42193832993507385,0.461594820022583,0.09457676112651825,-0.0750279501080513,0.12519247829914093,0.049594178795814514,0.21620668470859528,0.1496719866991043,0.1110604926943779,0.25625139474868774,0.10846874117851257,0.2771645188331604,0.269453763961792,0.1497594714164734,-0.09615616500377655,0.3566761910915375,0.3433517813682556,0.1512594223022461,0.2613808810710907,-0.056128013879060745,-0.009162361733615398,0.22725412249565125,0.5099417567253113,0.14054010808467865,0.15456436574459076,0.2617545425891876,0.49885520339012146,0.18943729996681213,-0.1745854616165161,0.05237634479999542,-0.11244073510169983,0.36978861689567566,0.31738990545272827
ATP2A2,-0.15936802327632904,0.07274089008569717,0.12679649889469147,-0.00035612547071650624,0.03877819702029228,0.31612634658813477,0.09350743889808655,0.320804238319397,0.011407217010855675,0.061033640056848526,0.22160349786281586,0.1878088265657425,0.30125728249549866,-0.08204139024019241,0.11398062109947205,0.02279813401401043,0.1970519721508026,0.24264222383499146,0.0489063486456871,0.10374976694583893,0.04533812776207924,0.05457320809364319,0.039218563586473465,0.11241590976715088,0.14291810989379883,0.12176907062530518,-0.0025434575509279966,-0.07186423242092133,0.0637289360165596,0.13388532400131226,0.24601691961288452,0.01600523293018341,0.00819586031138897,0.24034377932548523,0.09528200328350067,0.10400127619504929,0.2801341712474823,-0.1585189402103424,-0.015487028285861015,0.13771921396255493,0.23332038521766663,0.025012224912643433,0.10816555470228195,0.030437879264354706,0.41100451350212097,0.13566841185092926,-0.09831168502569199,0.028672166168689728,-0.06662176549434662,0.2256733924150467,0.315666526556015
JAZF1,0.12004423886537552,0.4176829755306244,0.366575688123703,0.5059210062026978,0.4682931900024414,0.4885564148426056,0.1740237921476364,0.6508771181106567,-0.014706023968756199,0.5549357533454895,0.20562176406383514,0.500409722328186,0.3825201690196991,0.14041906595230103,0.31793347001075745,0.16966429352760315,0.4810355007648468,0.45296984910964966,0.4742211103439331,0.6075201034545898,0.05716193839907646,-0.10082483291625977,0.08196361362934113,0.03669779375195503,0.19460530579090118,0.2584792971611023,0.08754408359527588,0.36164891719818115,0.11465027928352356,0.28735730051994324,0.39161810278892517,0.14880259335041046,-0.1563532054424286,0.4790245592594147,0.40600308775901794,0.27675676345825195,0.40264958143234253,-0.13182096183300018,0.07563194632530212,0.236329585313797,0.5846057534217834,0.1325862854719162,0.22166293859481812,0.2869608402252197,0.5898002982139587,0.3493887186050415,-0.21288040280342102,0.04428534209728241,-0.14138011634349823,0.43129783868789673,0.4001500606536865
MRPL34,0.056938447058200836,0.2368108481168747,0.18366602063179016,0.22979865968227386,0.19266538321971893,0.34114402532577515,0.1162395179271698,0.4092846214771271,0.08764111995697021,0.2321377396583557,0.20003551244735718,0.3266606032848358,0.25307801365852356,0.028261903673410416,0.1906256079673767,0.09080146253108978,0.2575666010379791,0.26868686079978943,0.19129425287246704,0.29898786544799805,0.03676310181617737,0.04543576017022133,0.11374780535697937,0.09840144217014313,0.14359720051288605,0.15485650300979614,0.15026570856571198,0.158899188041687,0.11948779225349426,0.22681985795497894,0.2353140115737915,0.11422627419233322,-0.034729380160570145,0.31234684586524963,0.23546874523162842,0.17030757665634155,0.2045130431652069,-0.04622172564268112,0.08256833255290985,0.21559830009937286,0.39040520787239075,0.11195511370897293,0.1728961318731308,0.21335187554359436,0.3192748725414276,0.18689016997814178,-0.1382640153169632,0.10115163028240204,-0.0005163183086551726,0.26832690834999084,0.3248436152935028
HSD17B10,0.2311830222606659,0.49549752473831177,0.49871698021888733,0.5704399347305298,0.5345261096954346,0.5785903930664062,0.25142741203308105,0.8280872106552124,0.05606042221188545,0.688197910785675,0.3028791546821594,0.6514050364494324,0.4976077377796173,0.10719766467809677,0.400694876909256,0.18629856407642365,0.4797888994216919,0.483996719121933,0.5632179379463196,0.7214828729629517,0.09471308439970016,-0.011253665201365948,0.19863174855709076,0.04091135784983635,0.24925971031188965,0.3289906978607178,0.16789895296096802,0.4367423355579376,0.24221177399158478,0.3886047899723053,0.39528554677963257,0.18252508342266083,-0.030240753665566444,0.493764191865921,0.4700208902359009,0.3290612995624542,0.4098373353481293,-0.08321049064397812,0.054900385439395905,0.32428160309791565,0.7906245589256287,0.16545850038528442,0.34483957290649414,0.4064919948577881,0.6277745962142944,0.38266846537590027,-0.26137104630470276,0.15830905735492706,-0.08356073498725891,0.4796418845653534,0.520508885383606
TPT1,-0.09573259949684143,0.34439101815223694,0.17064568400382996,0.2449783980846405,0.22980549931526184,0.43830767273902893,0.17894107103347778,0.4387190639972687,0.030909044668078423,0.3077377378940582,0.2401730865240097,0.41273415088653564,0.4006699323654175,0.07311501353979111,0.23682811856269836,0.011347190476953983,0.29830750823020935,0.3199876844882965,0.27036386728286743,0.45250239968299866,-0.10438347607851028,0.048947520554065704,0.17636020481586456,0.16333608329296112,0.04298818111419678,0.2565927803516388,0.22467778623104095,0.18999920785427094,0.12450163066387177,0.31831055879592896,0.3739194869995117,0.1512153148651123,-0.011326706036925316,0.25490355491638184,0.31086915731430054,0.3283870220184326,0.2759598195552826,-0.14211226999759674,0.022174185141921043,0.2556306719779968,0.43978530168533325,0.05588129162788391,0.14193348586559296,0.25443705916404724,0.3041759431362152,0.1343059092760086,-0.3209648132324219,0.07852982729673386,0.029016051441431046,0.38464394211769104,0.3811540901660919
HSPD1,-0.1332232803106308,0.09588165581226349,0.29174312949180603,0.1125519648194313,0.11514438688755035,0.29350924491882324,0.04108412563800812,0.2928435504436493,0.07470608502626419,0.15496154129505157,0.13746966421604156,0.19201408326625824,0.17701202630996704,-0.020657142624258995,0.2402166873216629,0.035247426480054855,0.188132643699646,0.21647633612155914,0.11080117523670197,0.19568917155265808,-0.0729520246386528,-0.09718866646289825,0.049545321613550186,0.06068207696080208,0.0831589326262474,0.14549489319324493,-0.056437645107507706,0.03452204912900925,-0.023798812180757523,0.11940160393714905,0.1552906632423401,0.089299775660038,-0.14586606621742249,0.25515392422676086,0.23021021485328674,0.09070184826850891,0.2889159023761749,-0.09489692002534866,-0.07594313472509384,0.11062197387218475,0.2689938545227051,0.014051413163542747,0.06830918043851852,0.011891011148691177,0.3709012269973755,0.1370251178741455,-0.11951789259910583,-0.027141230180859566,-0.08431761711835861,0.10197120159864426,0.22547350823879242
MRPL24,0.010319446213543415,0.1538274884223938,0.16945204138755798,0.21302683651447296,0.20391547679901123,0.3540775179862976,0.14323332905769348,0.3081679940223694,0.04027939960360527,0.21438999474048615,0.08831927180290222,0.2138500213623047,0.25157052278518677,0.11783207952976227,0.195241779088974,0.0734165832400322,0.2824976444244385,0.2383182942867279,0.13121187686920166,0.28585147857666016,0.016503052785992622,-0.15094643831253052,0.03413665294647217,0.03729641065001488,0.12831731140613556,0.06733214855194092,0.04920211806893349,0.1876201331615448,0.05603708326816559,0.18572305142879486,0.28414443135261536,0.05154288560152054,-0.13541772961616516,0.3220122456550598,0.2459971308708191,0.1682366132736206,0.2261897474527359,-0.11030777543783188,0.005526132881641388,0.22237609326839447,0.2811708450317383,0.06961772590875626,0.09674152731895447,0.09596775472164154,0.4444662034511566,0.15999723970890045,-0.09375505149364471,0.002444576472043991,-0.09649737179279327,0.2949719727039337,0.28331702947616577
MCMBP,0.028053421527147293,0.22397103905677795,0.24998719990253448,0.258808434009552,0.2444034069776535,0.3563283681869507,0.13190190494060516,0.4103294014930725,0.020733453333377838,0.2841872572898865,0.12495645880699158,0.28575435280799866,0.2762754261493683,0.051051121205091476,0.18167199194431305,0.1503467559814453,0.30091536045074463,0.28767070174217224,0.1968907117843628,0.33679211139678955,0.02549288421869278,-0.037928495556116104,0.12252792716026306,0.0585026815533638,0.1633351743221283,0.13912290334701538,0.06997687369585037,0.16587524116039276,0.062073323875665665,0.2159123420715332,0.27767306566238403,0.08771546930074692,-0.10174372047185898,0.3748492896556854,0.24200324714183807,0.17538724839687347,0.28326258063316345,-0.08867711573839188,0.017861828207969666,0.17041154205799103,0.3728711009025574,0.11936990916728973,0.17506152391433716,0.1582241803407669,0.4606078565120697,0.21429644525051117,-0.1553153395652771,0.02767069637775421,-0.010448169894516468,0.3040657043457031,0.32351377606391907
GFM1,-0.13369950652122498,0.10538853704929352,0.14759811758995056,0.04902726784348488,0.05274147912859917,0.32759523391723633,0.10564231127500534,0.30891695618629456,0.03683706745505333,0.07024912536144257,0.16273769736289978,0.18625062704086304,0.2778572738170624,-0.026104794815182686,0.16981318593025208,0.051648277789354324,0.16198819875717163,0.24748733639717102,0.037387486547231674,0.14489910006523132,-0.021245786920189857,-0.03287454694509506,0.08816809207201004,0.07740885019302368,0.16467083990573883,0.06926099210977554,0.041592396795749664,0.04926883056759834,0.028641799464821815,0.12296820431947708,0.2408895492553711,0.06512315571308136,-0.07304716855287552,0.28577807545661926,0.18186193704605103,0.16750341653823853,0.26266714930534363,-0.14878001809120178,-0.005922805983573198,0.1448599249124527,0.2424800992012024,0.01190105453133583,0.09120836108922958,0.053970783948898315,0.3964088261127472,0.16803407669067383,-0.0959198847413063,-0.009327750653028488,-0.05052419379353523,0.20686028897762299,0.2983238399028778
ZBTB17,0.6710376739501953,0.8264027237892151,0.7166740298271179,1.081329107284546,0.9228809475898743,0.7570973634719849,0.37193629145622253,1.3408801555633545,0.11256212741136551,1.159040093421936,0.4184430241584778,1.042725682258606,0.6672360301017761,0.2184930294752121,0.6013582944869995,0.2083207666873932,0.6392205953598022,0.6683575510978699,0.9557382464408875,1.1413518190383911,0.24284885823726654,0.2755860388278961,0.3720804750919342,0.1708453744649887,0.41949957609176636,0.5127446055412292,0.3587253987789154,0.7307632565498352,0.4528849124908447,0.695578396320343,0.6491338610649109,0.34277424216270447,-0.037747956812381744,0.7930388450622559,0.6729336977005005,0.4445643126964569,0.3714531660079956,0.02206927165389061,0.24610741436481476,0.5283530950546265,1.223219633102417,0.3687194585800171,0.558000385761261,0.694426953792572,0.8784650564193726,0.6600724458694458,-0.4264364242553711,0.27445170283317566,0.1189325600862503,0.7629421949386597,0.7255426645278931
TRNT1,0.2065483182668686,0.404222697019577,0.31013378500938416,0.5143967270851135,0.4282774329185486,0.4924297332763672,0.19752947986125946,0.5481209754943848,-0.018047261983156204,0.6170544624328613,0.010189964435994625,0.4679683446884155,0.21931536495685577,0.03430882841348648,0.26749253273010254,0.0969168096780777,0.47777172923088074,0.39810827374458313,0.5462226867675781,0.6055156588554382,0.07767894119024277,-0.13645054399967194,0.062258362770080566,-0.056070536375045776,0.09516116976737976,0.19859515130519867,0.13085657358169556,0.4390553832054138,0.20599910616874695,0.24750103056430817,0.40018656849861145,0.1732417345046997,-0.23262742161750793,0.5235430598258972,0.3466484844684601,0.1922144889831543,0.1851411610841751,-0.12040769308805466,0.00022752424411009997,0.22398221492767334,0.5791361331939697,0.15144428610801697,0.18875059485435486,0.31652575731277466,0.48153918981552124,0.31311744451522827,-0.2352057695388794,0.08329138159751892,-0.08577825874090195,0.4136483371257782,0.32710108160972595
SPCS3,0.30767735838890076,0.495942622423172,0.40459829568862915,0.6244365572929382,0.5525246858596802,0.49215662479400635,0.12019170075654984,0.7402756810188293,0.09651008993387222,0.7135863304138184,0.20247015357017517,0.6080694198608398,0.33779531717300415,0.23274777829647064,0.33460068702697754,0.15705078840255737,0.37609148025512695,0.3799189329147339,0.6038597226142883,0.7092058658599854,0.14119049906730652,0.09444668143987656,0.15771427750587463,0.004839002620428801,0.17185814678668976,0.29704514145851135,0.19970852136611938,0.43707767128944397,0.26453348994255066,0.36404144763946533,0.27113646268844604,0.20833787322044373,-0.08871710300445557,0.4511197507381439,0.3654114007949829,0.23088271915912628,0.23336030542850494,-0.03855357691645622,0.08791731297969818,0.3017352223396301,0.6794639825820923,0.19424530863761902,0.2622906267642975,0.40558427572250366,0.4565748870372772,0.32464805245399475,-0.2871004343032837,0.10566870868206024,-0.011006757616996765,0.4323425590991974,0.3804420828819275
DLD,-0.2769586145877838,0.11321623623371124,0.23829014599323273,0.06895837187767029,-0.011571471579372883,0.31824493408203125,0.11658958345651627,0.24115847051143646,0.02747475914657116,-0.025597786530852318,0.06342628598213196,0.12267274409532547,0.14009428024291992,-0.08400264382362366,0.13981980085372925,-0.032913073897361755,0.21243426203727722,0.3144838809967041,-0.06665794551372528,0.17090317606925964,0.03368204087018967,0.044191453605890274,-0.06460672616958618,0.002297855680808425,0.09021420031785965,0.1250220388174057,0.01278608851134777,0.008326194249093533,0.07620444148778915,0.040726352483034134,0.13045910000801086,0.13346299529075623,-0.1715177297592163,0.1613764464855194,-0.058699797838926315,0.2480730414390564,0.12141501158475876,-0.2139033079147339,-0.052242178469896317,0.09608252346515656,0.2261824607849121,0.09562171995639801,0.09340130537748337,0.01850070059299469,0.29193833470344543,0.07267379760742188,-0.10683313012123108,0.0389014407992363,-0.028872264549136162,0.20950336754322052,0.3159177899360657
RSL1D1,0.11022020876407623,0.2804781198501587,0.2341529279947281,0.3103663921356201,0.25652217864990234,0.3288399279117584,0.092125304043293,0.4244540333747864,0.1373210847377777,0.2971649765968323,0.07197199016809464,0.29743918776512146,0.22261089086532593,0.04192929342389107,0.23713864386081696,0.09871353209018707,0.2385268658399582,0.25774797797203064,0.25556623935699463,0.3520715832710266,0.03239663317799568,0.018186986446380615,0.12090414762496948,0.04883944243192673,0.16149882972240448,0.1042962521314621,0.048512909561395645,0.19718778133392334,0.10694091022014618,0.2060079127550125,0.27477970719337463,0.12485070526599884,-0.06711282581090927,0.29632267355918884,0.24382233619689941,0.1273522526025772,0.2477380484342575,-0.06968548893928528,-0.0029438198544085026,0.14255256950855255,0.38546037673950195,0.07517633587121964,0.17250937223434448,0.20663614571094513,0.3603210747241974,0.20267929136753082,-0.09896587580442429,0.06022271141409874,-0.019899236038327217,0.30144038796424866,0.28920695185661316
